cases,tests,active,deaths,country,updated,continent,recovered,population,oneCasePerPeople,oneTestPerPeople,oneDeathPerPeople,casesPerOneMillion,testsPerOneMillion
4770149,17273454,42927,34586,Thailand,1753456487455,Asia,4692636,70078203,15,4,2026,68069,246488
23460,278529,220,138,Timor-Leste,1753456487614,Asia,23102,1369429,58,5,9923,17131,203391
39572,815204,1,290,Togo,1753456487598,Africa,39281,8680837,219,11,29934,4559,93908
80,0,80,0,Tokelau,1753456487666,Australia-Oceania,0,1378,17,0,0,58055,0
16950,535009,1299,13,Tonga,1753456487626,Australia-Oceania,15638,107749,6,0,8288,157310,4965327
191496,913289,28,4390,Trinidad and Tobago,1753456487552,North America,187078,1406585,7,2,320,136143,649295
1153361,5013383,1123938,29423,Tunisia,1753456487495,Africa,0,12046656,10,2,409,95741,416164
17232066,162743369,17129892,102174,Turkey,1753456487427,Asia,0,85561976,5,1,837,201399,1902052
6752,616788,3,40,Turks and Caicos Islands,1753456487651,North America,6709,39741,6,0,994,169900,15520193
2943,0,2942,1,Tuvalu,1753456487660,Australia-Oceania,0,12066,4,0,12066,243909,0
1067030,200732262,1064681,2349,UAE,1753456487498,Asia,0,10081785,9,0,4292,105837,19910389
24910387,522526476,0,232112,UK,1753456487424,Europe,24678275,68497907,3,0,295,363666,7628357
111820082,1186851502,786167,1219487,USA,1753456487414,North America,109814428,334805269,3,0,275,333985,3544901
172149,3012408,68086,3632,Uganda,1753456487556,Africa,100431,48432863,281,16,13335,3554,62198
5557995,32603805,0,112418,Ukraine,1753456487445,Europe,5445577,43192122,8,1,384,128681,754855
1041111,6114822,2503,7664,Uruguay,1753456487501,South America,1030944,3496016,3,1,456,297799,1749083
253662,1377915,10539,1637,Uzbekistan,1753456487544,Asia,241486,34382084,136,25,21003,7378,40077
12019,24976,29,14,Vanuatu,1753456487634,Australia-Oceania,11976,321832,27,13,22988,37346,77606
552695,3359014,302,5856,Venezuela,1753456487522,South America,546537,29266991,53,9,4998,18885,114771
11625195,85826548,941018,43206,Vietnam,1753456487430,Asia,10640971,98953541,9,1,2290,117481,867342
3550,20508,3104,8,Wallis and Futuna,1753456487658,Australia-Oceania,438,10982,3,1,1373,323256,1867419
10,0,0,1,Western Sahara,1753456487669,Africa,9,626161,62616,0,626161,16,0
11945,329592,662,2159,Yemen,1753456487636,Asia,9124,31154867,2608,95,14430,383,10579
349304,4112961,3919,4069,Zambia,1753456487535,Africa,341316,19470234,56,5,4785,17940,211244
266359,2525756,1731,5740,Zimbabwe,1753456487543,Africa,258888,15331428,58,6,2671,17373,164744
